         208936 function calls (208434 primitive calls) in 58.987 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 mmalobj.py:2403(enable)
     1002    0.007    0.000    0.348    0.000 mmalobj.py:2434(disconnect)
      505    0.003    0.000    0.004    0.000 mmalobj.py:2441(connection)
      500    0.017    0.000    0.043    0.000 mmalobj.py:324(open_stream)
      500    0.003    0.000    0.015    0.000 mmalobj.py:360(close_stream)
     1007    0.016    0.000    0.028    0.000 mmalobj.py:376(to_resolution)
       14    0.000    0.000    0.000    0.000 mmalobj.py:409(to_fraction)
        8    0.000    0.000    0.000    0.000 mmalobj.py:449(to_rational)
     2519    0.025    0.000    0.047    0.000 mmalobj.py:612(__init__)
      504    0.776    0.002    0.886    0.002 mmalobj.py:628(__init__)
     1006    0.015    0.000    0.038    0.000 mmalobj.py:655(<genexpr>)
     1011    0.008    0.000    0.026    0.000 mmalobj.py:659(<genexpr>)
      504    0.245    0.000    0.265    0.001 mmalobj.py:663(close)
       29    0.000    0.000    0.000    0.000 mmalobj.py:684(control)
     3015    0.004    0.000    0.004    0.000 mmalobj.py:692(inputs)
     5020    0.008    0.000    0.008    0.000 mmalobj.py:700(outputs)
        3    0.070    0.023    0.070    0.023 mmalobj.py:716(enable)
        1    0.028    0.028    0.028    0.028 mmalobj.py:726(disable)
        1    0.000    0.000    0.000    0.000 mmalobj.py:734(__enter__)
        1    0.000    0.000    0.000    0.000 mmalobj.py:737(__exit__)
     1513    0.020    0.000    0.053    0.000 mmalobj.py:755(__init__)
        6    0.000    0.000    0.000    0.000 mmalobj.py:761(index)
     4011    0.021    0.000    0.021    0.000 mmalobj.py:769(enabled)
        1    0.000    0.000    0.000    0.000 mmalobj.py:778(enable)
     1509    0.125    0.000    0.277    0.000 mmalobj.py:802(disable)
     5517    0.062    0.000    0.108    0.000 mmalobj.py:821(name)
     3510    0.010    0.000    0.010    0.000 mmalobj.py:835(type)
     2054    0.003    0.000    0.003    0.000 mmalobj.py:858(params)
     1009    0.013    0.000    0.042    0.000 mmalobj.py:989(__init__)
      500    0.001    0.000    0.001    0.000 multiarray.py:145(concatenate)
      500    0.001    0.000    0.001    0.000 multiarray.py:312(where)
      500    0.013    0.000    0.019    0.000 numeric.py:1277(normalize_axis_tuple)
      500    0.003    0.000    0.005    0.000 numeric.py:1327(<listcomp>)
        1    0.000    0.000    0.069    0.069 renderers.py:555(__init__)
        1    0.000    0.000    0.003    0.003 renderers.py:560(close)
      500    0.001    0.000    0.001    0.000 shape_base.py:508(_expand_dims_dispatcher)
      500    0.024    0.000    0.067    0.000 shape_base.py:512(expand_dims)
      500    0.004    0.000    0.006    0.000 shape_base.py:600(<listcomp>)
      500    0.020    0.000    0.024    0.000 streams.py:63(__init__)
      500    0.007    0.000    0.011    0.000 streams.py:76(close)
      500    0.404    0.001    0.404    0.001 tflite.py:68(_decode_boxes)
      500    0.778    0.002   28.186    0.056 tflite.py:89(run)
      500    0.024    0.000    0.024    0.000 threading.py:216(__init__)
     2000    0.007    0.000    0.013    0.000 threading.py:240(__enter__)
     2000    0.006    0.000    0.008    0.000 threading.py:243(__exit__)
      500    0.002    0.000    0.003    0.000 threading.py:249(_release_save)
      500    0.002    0.000    0.003    0.000 threading.py:252(_acquire_restore)
     1500    0.004    0.000    0.008    0.000 threading.py:255(_is_owned)
      500    0.012    0.000   24.506    0.049 threading.py:264(wait)
     1000    0.010    0.000    0.015    0.000 threading.py:335(notify)
     1000    0.005    0.000    0.021    0.000 threading.py:358(notify_all)
      500    0.006    0.000    0.030    0.000 threading.py:499(__init__)
     1000    0.011    0.000    0.041    0.000 threading.py:513(set)
      500    0.006    0.000    0.014    0.000 threading.py:524(clear)
      500    0.011    0.000   24.522    0.049 threading.py:534(wait)
        1    0.000    0.000    0.000    0.000 tokenize.py:339(_get_normal_name)
        1    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
        1    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
        1    0.000    0.000    0.000    0.000 tokenize.py:380(find_cookie)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
        1    0.000    0.000    0.002    0.002 warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.002    0.002 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.002    0.002 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 warnings.py:419(__init__)
        1    0.000    0.000    0.002    0.002 warnings.py:96(_showwarnmsg)
     1046    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x3cc514}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
       12    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     1006    0.003    0.000    0.003    0.000 {built-in method _ctypes.POINTER}
     2042    0.002    0.000    0.002    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
     1501    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
      500    0.016    0.000    0.018    0.000 {built-in method _warnings.warn}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     7530    0.014    0.000    0.015    0.000 {built-in method builtins.isinstance}
     1002    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     6356    0.008    0.000    0.015    0.000 {built-in method builtins.len}
     3021    0.010    0.000    0.010    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1500    0.001    0.000    0.001    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method math.floor}
       26    0.000    0.000    0.000    0.000 {built-in method math.gcd}
      500    0.004    0.000    0.004    0.000 {built-in method numpy.array}
     1500    0.114    0.000    0.181    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      500    0.003    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       10    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      500    0.001    0.000    0.001    0.000 {built-in method sys.getrefcount}
     1000    0.028    0.000    0.028    0.000 {built-in method tflite_runtime._interpreter_wrapper.InterpreterWrapper_GetTensor}
      500   26.464    0.053   26.464    0.053 {built-in method tflite_runtime._interpreter_wrapper.InterpreterWrapper_Invoke}
      500    0.077    0.000    0.077    0.000 {built-in method tflite_runtime._interpreter_wrapper.InterpreterWrapper_SetTensor}
      500    0.003    0.000    0.003    0.000 {function BufferIO.close at 0x76394588}
     2000    0.006    0.000    0.006    0.000 {method '__enter__' of '_thread.lock' objects}
     2000    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
     3000   24.488    0.008   24.488    0.008 {method 'acquire' of '_thread.lock' objects}
     2519    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
      500    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
